Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.2-192.168.56.3-1808-80-6,192.168.56.2,1808,192.168.56.3,80,6,03/04/2026 04:00:13 PM,955,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3141.361256544503,477.5,501.3387078612622,832.0,123.0,955.0,955.0,0.0,955.0,955.0,0,0,0,0,0,0,0,0,0,40,24,2094.240837696335,1047.1204188481674,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1809-80-6,192.168.56.2,1809,192.168.56.3,80,6,03/04/2026 04:00:13 PM,938,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3198.2942430703624,469.0,630.7392488184004,915.0,23.0,938.0,938.0,0.0,938.0,938.0,0,0,0,0,0,0,0,0,0,40,24,2132.1961620469083,1066.0980810234541,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1810-80-6,192.168.56.2,1810,192.168.56.3,80,6,03/04/2026 04:00:13 PM,983,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3051.881993896236,491.5,661.1448404094219,959.0,24.0,983.0,983.0,0.0,983.0,983.0,0,0,0,0,0,0,0,0,0,40,24,2034.587995930824,1017.293997965412,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1811-80-6,192.168.56.2,1811,192.168.56.3,80,6,03/04/2026 04:00:13 PM,756,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3968.253968253968,378.0,506.288455329568,736.0,20.0,756.0,756.0,0.0,756.0,756.0,0,0,0,0,0,0,0,0,0,40,24,2645.5026455026455,1322.7513227513227,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1812-80-6,192.168.56.2,1812,192.168.56.3,80,6,03/04/2026 04:00:13 PM,971,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3089.5983522142124,485.5,665.3874810965413,956.0,15.0,971.0,971.0,0.0,971.0,971.0,0,0,0,0,0,0,0,0,0,40,24,2059.732234809475,1029.8661174047375,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1813-80-6,192.168.56.2,1813,192.168.56.3,80,6,03/04/2026 04:00:13 PM,618,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4854.368932038836,309.0,411.5361466505707,600.0,18.0,618.0,618.0,0.0,618.0,618.0,0,0,0,0,0,0,0,0,0,40,24,3236.245954692557,1618.1229773462785,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1814-80-6,192.168.56.2,1814,192.168.56.3,80,6,03/04/2026 04:00:13 PM,700,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4285.714285714285,350.0,472.34732983261375,684.0,16.0,700.0,700.0,0.0,700.0,700.0,0,0,0,0,0,0,0,0,0,40,24,2857.1428571428573,1428.5714285714287,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1815-80-6,192.168.56.2,1815,192.168.56.3,80,6,03/04/2026 04:00:13 PM,706,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4249.291784702549,353.0,476.589970519733,690.0,16.0,706.0,706.0,0.0,706.0,706.0,0,0,0,0,0,0,0,0,0,40,24,2832.8611898016998,1416.4305949008499,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1816-80-6,192.168.56.2,1816,192.168.56.3,80,6,03/04/2026 04:00:13 PM,698,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4297.994269340974,349.0,469.51890270786754,681.0,17.0,698.0,698.0,0.0,698.0,698.0,0,0,0,0,0,0,0,0,0,40,24,2865.3295128939826,1432.6647564469913,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1817-80-6,192.168.56.2,1817,192.168.56.3,80,6,03/04/2026 04:00:13 PM,625,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,312.5,419.31432124362266,609.0,16.0,625.0,625.0,0.0,625.0,625.0,0,0,0,0,0,0,0,0,0,40,24,3200.0,1600.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1818-80-6,192.168.56.2,1818,192.168.56.3,80,6,03/04/2026 04:00:13 PM,763,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3931.847968545216,381.5,506.9955621107546,740.0,23.0,763.0,763.0,0.0,763.0,763.0,0,0,0,0,0,0,0,0,0,40,24,2621.231979030144,1310.615989515072,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1819-80-6,192.168.56.2,1819,192.168.56.3,80,6,03/04/2026 04:00:13 PM,861,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3484.320557491289,430.5,580.5346673541555,841.0,20.0,861.0,861.0,0.0,861.0,861.0,0,0,0,0,0,0,0,0,0,40,24,2322.8803716608595,1161.4401858304298,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1820-80-6,192.168.56.2,1820,192.168.56.3,80,6,03/04/2026 04:00:13 PM,624,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4807.692307692308,312.0,412.95036021294374,604.0,20.0,624.0,624.0,0.0,624.0,624.0,0,0,0,0,0,0,0,0,0,40,24,3205.128205128205,1602.5641025641025,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1821-80-6,192.168.56.2,1821,192.168.56.3,80,6,03/04/2026 04:00:13 PM,751,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3994.6737683089214,375.5,508.4097756731277,735.0,16.0,751.0,751.0,0.0,751.0,751.0,0,0,0,0,0,0,0,0,0,40,24,2663.1158455392806,1331.5579227696403,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1822-80-6,192.168.56.2,1822,192.168.56.3,80,6,03/04/2026 04:00:13 PM,912,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3289.4736842105262,456.0,623.668181006535,897.0,15.0,912.0,912.0,0.0,912.0,912.0,0,0,0,0,0,0,0,0,0,40,24,2192.9824561403507,1096.4912280701753,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1823-80-6,192.168.56.2,1823,192.168.56.3,80,6,03/04/2026 04:00:13 PM,902,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3325.9423503325943,451.0,616.5971131946694,887.0,15.0,902.0,902.0,0.0,902.0,902.0,0,0,0,0,0,0,0,0,0,40,24,2217.294900221729,1108.6474501108646,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.56.2-192.168.56.3-1824-80-6,192.168.56.2,1824,192.168.56.3,80,6,03/04/2026 04:00:13 PM,646,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4643.962848297214,323.0,435.57777721091327,631.0,15.0,646.0,646.0,0.0,646.0,646.0,0,0,0,0,0,0,0,0,0,40,24,3095.9752321981423,1547.9876160990711,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,64240,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
