Flow Duration,Flow Packets/s,Avg Fwd Segment Size,Average Packet Size,Init_Win_bytes_forward,Label
20801,192.29844719003893,41.0,59.25,-1,BENIGN
2,1000000.0,0.0,0.0,248,BENIGN
3,1000000.0,6.0,8.0,4354,BENIGN
2,2000000.0,6.0,7.5,0,BENIGN
2,1000000.0,18.5,34.0,16537,BENIGN
115,34782.608695652176,6.0,7.5,5840,Syn
109,36697.247706422015,6.0,7.5,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
53,75471.69811320755,6.0,7.5,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
1849,2163.3315305570577,32.25,43.75,254,BENIGN
418456,14.3384250673906,22.0,25.66666666666667,-1,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
20969,190.75778530211264,41.0,179.25,-1,BENIGN
25571,156.4272026905479,43.0,61.75,-1,BENIGN
55401,36.10043140015523,6.0,9.0,256,BENIGN
62176,176.9171384457025,150.28571428571428,96.72727272727272,29200,BENIGN
90412195,1.3936173101427305,78.79166666666667,130.34126984126985,650,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
47,42553.19148936171,6.0,9.0,5840,Syn
0,58823.52941176471,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
44686,89.51349415924452,39.0,79.25,-1,BENIGN
50929951,0.19634811743683,6.0,6.6,5840,Syn
188,15957.44680851064,0.0,10.333333333333334,5703,BENIGN
234,21367.521367521367,27.33333333333333,26.4,246,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,15.5,31.0,296,BENIGN
52,76923.07692307692,6.0,7.5,5840,Syn
1,2000000.0,18.5,34.0,16360,BENIGN
101,39603.960396039605,6.0,7.5,5840,Syn
54,74074.07407407407,6.0,7.5,5840,Syn
439,9111.617312072893,31.0,20.0,36500,BENIGN
1,3000000.0,6.0,8.0,277,BENIGN
100,40000.0,6.0,7.5,5840,Syn
278,14388.489208633096,0.0,0.0,159,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
3,1000000.0,0.0,0.0,249,BENIGN
112,35714.28571428572,6.0,7.5,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
73,54794.520547945205,6.0,7.5,5840,Syn
96,31250.0,0.0,0.0,130,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
20889,191.4883431471109,50.0,70.5,-1,BENIGN
101,39603.960396039605,6.0,7.5,5840,Syn
1,2000000.0,18.5,34.0,16444,BENIGN
115898580,0.6730022058941534,146.3421052631579,104.06410256410255,8192,BENIGN
5013845,1.3961341046641849,3.6,2.571428571428572,8192,BENIGN
174,17241.379310344826,6.0,8.0,278,BENIGN
425,18823.529411764703,14.333333333333336,13.0,259,BENIGN
45832,87.27526618956188,33.0,55.25,-1,BENIGN
0,58823.52941176471,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
134808,252.2105513025933,97.72222222222224,485.0294117647058,8192,BENIGN
118205496,0.7106268561319687,183.29411764705884,110.65476190476193,16466,BENIGN
20819,192.1321869446179,42.0,66.5,-1,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
