Flow Duration,Flow Packets/s,Avg Fwd Segment Size,Average Packet Size,Init_Win_bytes_forward,Label
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
62864,63.62942224484601,31.0,68.75,-1,BENIGN
141020,226.91816763579632,95.44444444444444,236.375,8192,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
142,28169.01408450704,6.0,7.5,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
42,47619.04761904762,6.0,9.0,5840,Syn
5203223,5.381280025860894,79.29411764705883,329.2857142857143,29200,BENIGN
21399,186.924622645918,32.0,75.5,-1,BENIGN
66631321,0.2701432258862165,6.0,6.333333333333332,5840,Syn
117,34188.03418803419,6.0,7.5,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
78932623,2.6858349810571984,213.46666666666667,124.72641509433964,254,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
76,65789.47368421052,0.0,4.8,61,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
0,58823.52941176471,6.0,9.0,5840,Syn
7324963,1.365194609174135,0.0,0.0,8192,BENIGN
105,38095.23809523809,6.0,7.5,5840,Syn
91,32967.03296703297,0.0,0.0,116,BENIGN
116777327,0.5737415106273155,54.8,71.07462686567165,8192,BENIGN
53,75471.69811320755,6.0,7.5,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
119,33613.44537815126,6.0,7.5,5840,Syn
133050,30.06388575723412,47.0,66.75,-1,BENIGN
20651,193.69522057043244,25.0,39.25,-1,BENIGN
0,58823.52941176471,6.0,9.0,5840,Syn
50300777,0.2783257204953315,6.0,6.428571428571429,5840,Syn
100,40000.0,6.0,7.5,5840,Syn
5684586,5.101514868453041,81.5625,488.1034482758622,8192,BENIGN
20941,191.0128456138675,47.0,90.75,-1,BENIGN
4,750000.0,27.33333333333333,40.0,246,BENIGN
47933,83.44981536728349,35.0,69.75,-1,BENIGN
112,35714.28571428572,6.0,7.5,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
28,214285.7142857143,26.5,28.5,252,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,0,BENIGN
119,33613.44537815126,6.0,7.5,5840,Syn
49,40816.32653061225,6.0,9.0,5840,Syn
1,2000000.0,15.5,31.0,352,BENIGN
0,58823.52941176471,6.0,9.0,5840,Syn
3,666666.6666666666,6.0,9.0,16527,BENIGN
122232,278.1595654165849,75.6470588235294,331.1764705882353,29200,BENIGN
20977,190.68503599180056,41.0,59.25,-1,BENIGN
67,59701.49253731343,6.0,7.5,5840,Syn
1,2000000.0,18.5,34.0,253,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
67763,118.05852751501556,23.0,28.75,613,BENIGN
21010,190.3855306996668,42.0,60.5,-1,BENIGN
507,7889.546351084813,32.25,43.75,16321,BENIGN
1,2000000.0,0.0,0.0,325,BENIGN
118093887,0.3641170689893542,70.53846153846153,177.11627906976744,29200,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
2004909,36.41063010839893,86.06666666666666,63.78082191780822,29200,BENIGN
102,39215.68627450981,6.0,7.5,5840,Syn
92261,325.1644790323105,86.66666666666669,285.8666666666667,29200,BENIGN
2,1000000.0,0.0,0.0,59,BENIGN
110,36363.63636363636,6.0,7.5,5840,Syn
183,16393.44262295082,6.0,8.0,250,BENIGN
2,1000000.0,6.0,9.0,16263,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
20830,192.03072491598653,44.0,69.0,-1,BENIGN
4,1500000.0,6.0,7.0,0,BENIGN
93,43010.75268817205,6.0,7.5,5840,Syn
116470306,0.6095974367921726,72.46153846153847,106.56338028169014,8192,BENIGN
54,74074.07407407407,6.0,7.5,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
47832,83.62602441879913,38.0,75.5,-1,BENIGN
127960,242.26320725226637,131.3125,575.3225806451613,8192,BENIGN
0,58823.52941176471,6.0,9.0,5840,Syn
85,47058.82352941176,6.0,7.5,5840,Syn
7235950,1.381988543314976,0.0,0.0,8192,BENIGN
4,750000.0,20.666666666666668,31.0,285,BENIGN
4,750000.0,26.0,39.0,122,BENIGN
1,2000000.0,18.5,34.0,16364,BENIGN
28190,70.9471443774388,0.0,0.0,266,BENIGN
55724652,0.3947983380856286,6.0,6.2727272727272725,5840,Syn
2901,1723.543605653223,6.0,4.8,496,BENIGN
99,40404.04040404041,6.0,7.5,5840,Syn
52994736,0.3396563764370861,6.0,6.333333333333332,5840,Syn
26562,112.943302462164,6.0,8.0,256,BENIGN
0,58823.52941176471,6.0,9.0,16421,BENIGN
1,2000000.0,18.5,34.0,258,BENIGN
20840,191.93857965451056,38.0,67.0,-1,BENIGN
104,38461.53846153846,6.0,7.5,5840,Syn
21768,183.75597206909225,29.0,63.25,-1,BENIGN
21179,188.86632985504508,32.0,88.0,-1,BENIGN
20677,193.45166126614112,43.0,92.75,-1,BENIGN
1,2000000.0,15.5,31.0,311,BENIGN
22963,174.1932674302138,41.0,120.25,-1,BENIGN
54,74074.07407407407,6.0,7.5,5840,Syn
53122327,0.2258937188500797,6.0,6.5,5840,Syn
56,71428.57142857143,6.0,7.5,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
119748210,0.5511564640506944,56.70588235294117,77.3030303030303,8192,BENIGN
712,5617.977528089888,30.75,42.25,384,BENIGN
26,153846.15384615384,6.0,7.5,5840,Syn
1,2000000.0,6.0,9.0,5840,Syn
20819,192.1321869446179,58.0,80.5,-1,BENIGN
20593,194.2407614237848,34.0,60.0,-1,BENIGN
605,6611.570247933884,30.75,42.25,406,BENIGN
7199293,1.389025283454917,0.0,0.0,8192,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
20839,191.9477902010653,25.0,39.25,-1,BENIGN
1,2000000.0,18.5,34.0,252,BENIGN
1,2000000.0,6.0,9.0,5840,Syn
54,74074.07407407407,6.0,7.5,5840,Syn
104,38461.53846153846,6.0,7.5,5840,Syn
65,61538.461538461546,6.0,7.5,5840,Syn
131,30534.351145038167,6.0,7.5,5840,Syn
46140,86.69267446900737,42.0,60.5,-1,BENIGN
0,58823.52941176471,6.0,9.0,5840,Syn
2,1000000.0,0.0,0.0,248,BENIGN
